source,dataset,architecture,method,eps,seed,trial_number,clean_acc,certified_acc,feasible,constraints,path
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,31,0.7829,0.567799985408783,True,"[-0.18290000000000006, -0.16779998540878294]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,34,0.7836,0.5665000081062317,True,"[-0.18359999999999999, -0.16650000810623167]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,30,0.7881,0.5625999569892883,True,"[-0.18810000000000004, -0.1625999569892883]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,18,0.791,0.5604999661445618,True,"[-0.19100000000000006, -0.16049996614456175]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,17,0.7987,0.5444999933242798,True,"[-0.1987, -0.14449999332427976]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,20,0.7995,0.5245999693870544,True,"[-0.1995, -0.12459996938705442]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,0,29,0.8008,0.46449998021125793,True,"[-0.20079999999999998, -0.06449998021125791]",cifar10_cnn7_mtl_ibp_0.00784313725490196_0
mtl_baseline,cifar10,cnn7,mtl_ibp,0.00784313725490196,2,70,0.8154,0.4624999761581421,True,"[-0.21540000000000004, -0.06249997615814207]",cifar10_cnn7_mtl_ibp_0.00784313725490196_2
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,0,56,0.4957,0.3416999876499176,True,"[-0.09569999999999995, -0.0916999876499176]",cifar10_cnn7_cc_ibp_0.03137254901960784_0_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,0,73,0.4965,0.3375999927520752,True,"[-0.09649999999999997, -0.0875999927520752]",cifar10_cnn7_cc_ibp_0.03137254901960784_0_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,1,57,0.5273,0.33739998936653137,True,"[-0.12729999999999997, -0.08739998936653137]",cifar10_cnn7_cc_ibp_0.03137254901960784_1_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,1,76,0.5307,0.33730000257492065,True,"[-0.13069999999999993, -0.08730000257492065]",cifar10_cnn7_cc_ibp_0.03137254901960784_1_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,1,84,0.5414,0.3367999792098999,True,"[-0.14139999999999997, -0.0867999792098999]",cifar10_cnn7_cc_ibp_0.03137254901960784_1_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,0,36,0.5589,0.2807999849319458,True,"[-0.15889999999999993, -0.0307999849319458]",cifar10_cnn7_cc_ibp_0.03137254901960784_0_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,2,60,0.559,0.2766999900341034,True,"[-0.15900000000000003, -0.026699990034103394]",cifar10_cnn7_cc_ibp_0.03137254901960784_2_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,0,68,0.5591,0.27480000257492065,True,"[-0.15910000000000002, -0.024800002574920654]",cifar10_cnn7_cc_ibp_0.03137254901960784_0_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,1,49,0.5671,0.274399995803833,True,"[-0.16710000000000003, -0.024399995803833008]",cifar10_cnn7_cc_ibp_0.03137254901960784_1_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,1,58,0.5763,0.26969999074935913,True,"[-0.1763, -0.01969999074935913]",cifar10_cnn7_cc_ibp_0.03137254901960784_1_complete_False
expressive_losses,cifar10,cnn7,cc_ibp,0.03137254901960784,0,71,0.5776,0.2524999976158142,True,"[-0.17759999999999998, -0.002499997615814209]",cifar10_cnn7_cc_ibp_0.03137254901960784_0_complete_False
expressive_losses,cifar10,cnn7,exp_ibp,0.03137254901960784,2,73,0.483,0.33820000290870667,True,"[-0.08299999999999996, -0.08820000290870667]",cifar10_cnn7_exp_ibp_0.03137254901960784_2_complete_False
expressive_losses,cifar10,cnn7,exp_ibp,0.03137254901960784,2,96,0.5229,0.3369999825954437,True,"[-0.12290000000000001, -0.08699998259544373]",cifar10_cnn7_exp_ibp_0.03137254901960784_2_complete_False
expressive_losses,cifar10,cnn7,exp_ibp,0.03137254901960784,1,78,0.5268,0.3360999822616577,True,"[-0.12680000000000002, -0.08609998226165771]",cifar10_cnn7_exp_ibp_0.03137254901960784_1_complete_False
